Billund,1,1,"3,06","55.735288, 9.102284"
Esbjerg,2,0,"0,56","55.464256, 8.500197"
Gabøl,3,0,"0,00","55.254425, 9.151983"
Gejsing,4,0,"3,61","55.479864, 9.298745"
Give,5,1,"3,89","55.844658, 9.232359"
Grindsted,6,1,"3,89","55.759104, 8.921588"
Kolding C,7,1,"3,06","55.511704, 9.392950"
Kolding N,8,1,"4,72","55.521377, 9.478587"
Kolding S,9,0,"0,00","55.466069, 9.434624"
Korskro,10,1,"3,89","55.524830, 8.590677"
Lundagerholm,11,1,"4,72","55.396841, 8.741726"
Ribe,12,1,"2,50","55.324906, 8.757137"
Smidstrup Præstemark,13,1,"3,89","55.663839, 9.548915"
Vejle N,14,0,"2,78","55.748605, 9.588963"
Vejle S,15,0,"1,94","55.685087, 9.560767"
Ølholm,16,0,"0,00","55.832296, 9.517664"